,time,bid,ask,last,volume,time_msc,flags,volume_real
0,1580234400,1.62903,1.6292900000000001,0.0,0,1580234400184,130,0.0
1,1580234401,1.629,1.62928,0.0,0,1580234401180,134,0.0
2,1580234401,1.62899,1.62923,0.0,0,1580234401288,134,0.0
3,1580234401,1.629,1.62926,0.0,0,1580234401503,134,0.0
4,1580234402,1.62897,1.6292499999999999,0.0,0,1580234402336,134,0.0
5,1580234403,1.62907,1.6293199999999999,0.0,0,1580234403495,134,0.0
6,1580234403,1.62912,1.62935,0.0,0,1580234403701,134,0.0
7,1580234403,1.62913,1.62935,0.0,0,1580234403895,130,0.0
8,1580234404,1.62913,1.6294,0.0,0,1580234404141,4,0.0
9,1580234404,1.6291099999999998,1.62939,0.0,0,1580234404512,134,0.0
10,1580234404,1.62912,1.6294,0.0,0,1580234404901,134,0.0
11,1580234405,1.62912,1.62939,0.0,0,1580234405625,4,0.0
12,1580234405,1.62917,1.62941,0.0,0,1580234405703,134,0.0
13,1580234405,1.62917,1.6294300000000002,0.0,0,1580234405913,4,0.0
14,1580234406,1.62917,1.62944,0.0,0,1580234406210,4,0.0
15,1580234407,1.6292200000000001,1.62948,0.0,0,1580234407111,134,0.0
16,1580234407,1.62923,1.62951,0.0,0,1580234407321,134,0.0
17,1580234407,1.6292499999999999,1.62951,0.0,0,1580234407515,130,0.0
18,1580234408,1.62924,1.62951,0.0,0,1580234408219,130,0.0
19,1580234408,1.62919,1.6294499999999998,0.0,0,1580234408423,134,0.0
20,1580234408,1.6291799999999999,1.6294499999999998,0.0,0,1580234408625,130,0.0
21,1580234410,1.62919,1.6294499999999998,0.0,0,1580234410321,130,0.0
22,1580234410,1.62923,1.62948,0.0,0,1580234410525,134,0.0
23,1580234410,1.62921,1.62948,0.0,0,1580234410729,130,0.0
24,1580234410,1.6292200000000001,1.62944,0.0,0,1580234410930,134,0.0
25,1580234411,1.62914,1.62933,0.0,0,1580234411126,134,0.0
26,1580234411,1.6290499999999999,1.6293,0.0,0,1580234411330,134,0.0
27,1580234411,1.62908,1.6293,0.0,0,1580234411531,130,0.0
28,1580234411,1.6290499999999999,1.6293,0.0,0,1580234411730,130,0.0
29,1580234411,1.62906,1.6293,0.0,0,1580234411934,130,0.0
30,1580234412,1.6290499999999999,1.6293,0.0,0,1580234412132,130,0.0
31,1580234412,1.6290200000000001,1.6293,0.0,0,1580234412337,130,0.0
32,1580234412,1.62901,1.6293,0.0,0,1580234412539,130,0.0
33,1580234413,1.62901,1.62928,0.0,0,1580234413345,4,0.0
34,1580234413,1.62899,1.62928,0.0,0,1580234413537,130,0.0
35,1580234413,1.629,1.6292900000000001,0.0,0,1580234413750,134,0.0
36,1580234413,1.62901,1.6292900000000001,0.0,0,1580234413943,130,0.0
37,1580234414,1.62899,1.62927,0.0,0,1580234414153,134,0.0
38,1580234414,1.6289799999999999,1.62926,0.0,0,1580234414349,134,0.0
39,1580234414,1.62897,1.62924,0.0,0,1580234414546,134,0.0
40,1580234415,1.6289799999999999,1.62924,0.0,0,1580234415044,130,0.0
41,1580234415,1.629,1.6292499999999999,0.0,0,1580234415245,134,0.0
42,1580234415,1.62901,1.6292499999999999,0.0,0,1580234415453,130,0.0
43,1580234416,1.62904,1.62931,0.0,0,1580234416352,134,0.0
44,1580234416,1.62904,1.6293199999999999,0.0,0,1580234416547,4,0.0
45,1580234417,1.6290499999999999,1.6293199999999999,0.0,0,1580234417060,130,0.0
46,1580234417,1.62913,1.62939,0.0,0,1580234417273,134,0.0
47,1580234417,1.6291099999999998,1.62939,0.0,0,1580234417468,130,0.0
48,1580234417,1.6291099999999998,1.62938,0.0,0,1580234417663,4,0.0
49,1580234418,1.62912,1.62938,0.0,0,1580234418165,130,0.0
50,1580234418,1.62913,1.62939,0.0,0,1580234418364,134,0.0
51,1580234418,1.62912,1.62939,0.0,0,1580234418869,130,0.0
52,1580234419,1.62913,1.6294,0.0,0,1580234419068,134,0.0
53,1580234419,1.62913,1.62939,0.0,0,1580234419267,4,0.0
54,1580234419,1.62913,1.6294,0.0,0,1580234419470,4,0.0
55,1580234419,1.62917,1.62944,0.0,0,1580234419668,134,0.0
56,1580234420,1.62919,1.62946,0.0,0,1580234420070,134,0.0
57,1580234420,1.6291600000000002,1.6294300000000002,0.0,0,1580234420273,134,0.0
58,1580234421,1.62919,1.62946,0.0,0,1580234421890,134,0.0
59,1580234421,1.62924,1.62946,0.0,0,1580234421979,130,0.0
60,1580234422,1.6292499999999999,1.62949,0.0,0,1580234422171,134,0.0
61,1580234422,1.6292499999999999,1.6295199999999999,0.0,0,1580234422373,4,0.0
62,1580234422,1.62926,1.6295199999999999,0.0,0,1580234422581,130,0.0
63,1580234423,1.6292499999999999,1.6295199999999999,0.0,0,1580234423194,130,0.0
64,1580234424,1.6292499999999999,1.6295,0.0,0,1580234424288,4,0.0
65,1580234425,1.6292499999999999,1.6295199999999999,0.0,0,1580234425494,4,0.0
66,1580234426,1.62928,1.6295199999999999,0.0,0,1580234426195,130,0.0
67,1580234427,1.62933,1.6295600000000001,0.0,0,1580234427301,134,0.0
68,1580234427,1.62933,1.6296,0.0,0,1580234427502,4,0.0
69,1580234427,1.62934,1.6296,0.0,0,1580234427708,130,0.0
70,1580234427,1.62933,1.6296,0.0,0,1580234427903,130,0.0
71,1580234428,1.62938,1.62964,0.0,0,1580234428607,134,0.0
72,1580234428,1.62937,1.62961,0.0,0,1580234428806,134,0.0
73,1580234429,1.6293600000000001,1.6296,0.0,0,1580234429903,134,0.0
74,1580234430,1.62935,1.6296,0.0,0,1580234430307,130,0.0
75,1580234430,1.62935,1.6295899999999999,0.0,0,1580234430718,4,0.0
76,1580234430,1.62935,1.6296,0.0,0,1580234430908,4,0.0
77,1580234431,1.62937,1.62961,0.0,0,1580234431409,134,0.0
78,1580234431,1.62942,1.62967,0.0,0,1580234431520,134,0.0
79,1580234431,1.62944,1.62969,0.0,0,1580234431714,134,0.0
80,1580234431,1.62941,1.6296599999999999,0.0,0,1580234431919,134,0.0
81,1580234432,1.62937,1.62964,0.0,0,1580234432116,134,0.0
82,1580234432,1.62937,1.62961,0.0,0,1580234432313,4,0.0
83,1580234432,1.62937,1.62962,0.0,0,1580234432817,4,0.0
84,1580234433,1.6294,1.6296599999999999,0.0,0,1580234433919,134,0.0
85,1580234434,1.6294300000000002,1.6297000000000001,0.0,0,1580234434121,134,0.0
86,1580234434,1.62942,1.62969,0.0,0,1580234434322,134,0.0
87,1580234434,1.62942,1.62965,0.0,0,1580234434519,4,0.0
88,1580234434,1.62942,1.6296300000000001,0.0,0,1580234434716,4,0.0
89,1580234435,1.62937,1.6296300000000001,0.0,0,1580234435334,130,0.0
90,1580234437,1.62941,1.6296599999999999,0.0,0,1580234437430,134,0.0
91,1580234437,1.62941,1.6296300000000001,0.0,0,1580234437631,4,0.0
92,1580234437,1.62938,1.6296300000000001,0.0,0,1580234437831,130,0.0
93,1580234441,1.62931,1.62955,0.0,0,1580234441343,134,0.0
94,1580234441,1.62924,1.62948,0.0,0,1580234441443,134,0.0
95,1580234441,1.62923,1.62948,0.0,0,1580234441844,130,0.0
96,1580234442,1.62923,1.62947,0.0,0,1580234442244,4,0.0
97,1580234442,1.6292,1.62946,0.0,0,1580234442543,134,0.0
98,1580234442,1.6292200000000001,1.62946,0.0,0,1580234442754,130,0.0
99,1580234443,1.6291600000000002,1.62942,0.0,0,1580234443058,134,0.0
100,1580234443,1.62915,1.62937,0.0,0,1580234443152,134,0.0
101,1580234444,1.6291,1.62937,0.0,0,1580234444069,130,0.0
102,1580234446,1.6291,1.6293600000000001,0.0,0,1580234446462,4,0.0
103,1580234447,1.6290900000000001,1.62935,0.0,0,1580234447339,134,0.0
104,1580234447,1.62908,1.62934,0.0,0,1580234447369,134,0.0
105,1580234447,1.62908,1.62933,0.0,0,1580234447561,4,0.0
106,1580234447,1.6290200000000001,1.6293,0.0,0,1580234447872,134,0.0
107,1580234449,1.62899,1.62926,0.0,0,1580234449078,134,0.0
108,1580234449,1.62896,1.62923,0.0,0,1580234449289,134,0.0
109,1580234450,1.62897,1.62923,0.0,0,1580234450579,130,0.0
110,1580234451,1.62896,1.62923,0.0,0,1580234451083,130,0.0
111,1580234451,1.62899,1.62923,0.0,0,1580234451587,130,0.0
112,1580234451,1.62899,1.62927,0.0,0,1580234451787,4,0.0
113,1580234452,1.62896,1.62924,0.0,0,1580234452090,134,0.0
